Emisor;ISIN;Fecha inicio;Fecha Vto.;Cup¢n;Saldo (Mill?);Tipolog¡a;A¤o Emisi¢n;Tipo Emisor
Celere Desarrollos Inmobiliarios;XS2321650900;25/03/2021;04/01/2026;5,25;300;Verde;2021;Empresas
Com. Madrid;ES00001010B7;26/03/2021;30/04/2031;0,42;1000;Sostenible;2021;CCAA
Acciona;XS2327979758;04/07/2021;04/07/2025;3,75;13;Verde;2021;Empresas
Acciona;XS2327979832;04/07/2021;04/07/2026;1,97;18;Verde;2021;Empresas
Acciona;XS2327979675;04/07/2021;04/07/2027;3,09;5;Verde;2021;Empresas
Pa¡s Vasco;ES0000106726;16/04/2021;30/04/2032;0,45;1000;Sostenible;2021;CCAA
Andaluc¡a;ES0000090847;16/04/2021;30/04/2031;0,50;1000;Sostenible;2021;CCAA
Neinor Homes;XS2332219703;29/04/2021;15/10/2026;4,50;300;Verde;2021;Empresas
Neinor Homes;XS2332219612;29/04/2021;15/10/2026;4,50;300;Verde;2021;Empresas
Santander Consumer Bank AS;XS2337104660;29/04/2021;29/04/2024;0,40;98;Verde;2021;Bancos
Acciona;XS2343532417;14/05/2021;14/01/2025;1,20;116;Verde;2021;Empresas
Red Electrica Financiaciones SAU;XS2343540519;24/05/2021;24/05/2033;0,50;600;Verde;2021;Empresas
Acciona;XS2343361007;25/05/2021;25/05/2031;3,71;74;Verde;2021;Empresas
Acciona;XS2343370412;25/05/2021;25/05/2027;1,15;75;Verde;2021;Empresas
Caixabank;XS2346253730;26/05/2021;26/05/2028;0,75;1000;Social;2021;Bancos
Caixabank;XS2348693297;03/06/2021;03/12/2026;1,50;582;Verde;2021;Bancos
Banco Santander;XS2357417257;24/06/2021;24/06/2029;0,63;1000;Verde;2021;Bancos
Sabadell;XS2353366268;16/06/2021;16/06/2028;0,88;500;Verde;2021;Bancos
ICO;XS2356033147;21/06/2021;30/04/2027;0,00;500;Verde;2021;Agencias
Acciona;XS2357748016;28/06/2021;28/06/2034;1,90;70;Verde;2021;Empresas
Andaluc¡a;ES0000090888;16/07/2021;30/07/2033;0,70;500;Sostenible;2021;CCAA
Lar Espa¤a Real Estate;XS2363989273;22/07/2021;22/07/2026;1,75;400;Verde;2021;Empresas
Metropolitano de Tenerife;ES0205597000;30/07/2021;30/07/2036;1,23;130;Verde;2021;Agencias
Abanca;ES0265936023;08/09/2021;08/09/2027;0,50;500;Verde;2021;Bancos
BBVA;XS2384578824;09/09/2021;09/09/2023;0,46;1000;Social;2021;Bancos
Tesoro;ES0000012J07;14/09/2021;30/07/2042;1,00;5000;Verde;2021;Tesoro
Eurocaja Rural;ES0457089029;22/09/2021;22/09/2031;0,13;700;Sostenible;2021;Bancos
Acciona;XS2388941077;07/10/2021;07/10/2027;0,38;500;Verde;2021;Empresas
ADIF;ES0200002063;08/10/2021;31/10/2031;0,55;600;Verde;2021;Agencias
Kutxabank;ES0243307016;14/10/2021;14/10/2027;0,50;500;Verde;2021;Bancos
Lar Espa¤a Real Estate;XS2403391886;03/11/2021;03/11/2028;1,84;300;Verde;2021;Empresas
Banco Santander;NO0011146425;05/11/2021;05/11/2026;1,33;25;Verde;2021;Bancos
Banco Santander;NO0011146409;05/11/2021;05/11/2024;1,14;76;Verde;2021;Bancos
Iberdrola;XS2405855375;16/11/2021;;1,58;750;Verde;2021;Empresas
Telef¢nica;XS2410367747;24/11/2021;;2,88;750;Sostenible;2021;Empresas
ICO;XS2412060092;24/11/2021;30/04/2025;0,00;500;Social;2021;Agencias
Com. Madrid;ES00001010G6;26/11/2021;30/07/2028;0,16;500;Verde;2021;CCAA
Xunta de Galicia;ES0001352618;03/12/2021;30/07/2028;0,27;500;Sostenible;2021;CCAA
